,0,1,2,3,4,5,6,7,8,9
0.9504680812158794_4.0,8437.196441698596,16775.154180904283,23883.29371881194,28196.075575953553,29792.684572861228,31225.20966476968,32504.995504130227,33201.7289352452,34419.989377857346,35509.155949460546
0.8761702030396987_2.0,14425.914189410412,22556.63482752839,27949.693308126585,32671.328824912307,35757.926133057896,38396.55430527797,41282.49345392139,43725.4739711655,47575.780020331564,53304.72669095759
0.801872324863518_1.0,16638.224703429696,24351.316041129594,29758.444385904277,34580.329251388976,38231.86048061689,41470.440092718934,45268.544190731845,49235.64330331964,55270.07349543383,67723.35625901466
0.801872324863518_4.0,8315.518236853974,16921.308110361962,21911.665553788822,24835.813620068926,26233.758493088033,27037.952498910578,28149.53378927516,28653.78075238964,29477.20747247484,30376.429699025703
0.702808487295277_1.0,16060.93337763989,23477.158303082837,28701.62527548241,33308.11763691528,36872.710415204565,39956.40084603479,43624.07468016624,47474.70968389185,53286.138118228926,65377.044096940364
0.8266382842555782_2.0,14232.441903982299,22154.3467228494,27390.130596194835,31868.5527562708,34900.0185371596,37371.76542942519,40185.29177467503,42535.54892203037,46167.42478076465,51704.93032434693
0.702808487295277_2.0,13677.735268960283,20980.5470416171,25745.153255809084,29652.409634538126,32472.018398715136,34569.93542533608,37097.69389615824,39211.580344423295,42368.316619719764,47249.26132448545
0.8514042436476386_4.0,8342.736922431546,17241.70917897261,22627.628779639886,26035.350981559324,27444.444953673552,28515.17036271738,29641.611735818522,30175.579284511525,31179.864451294045,32120.919361212877
0.7523404060793975_4.0,8280.314133401178,16574.678402476973,21104.545854249605,23607.069798614142,24869.852756687473,25540.229466580135,26608.631657088667,27049.488590093457,27790.368203281323,28619.03576311184
0.900936162431759_2.0,14515.916248713716,22750.234237796336,28231.57325278968,33035.10538446294,36188.1549000773,38861.36380120126,41804.2995310721,44305.15490086471,48225.06301424209,54097.72274441089
0.8266382842555782_1.0,16777.7803010762,24558.464497083078,29998.184183664707,34898.92216443057,38537.513150917584,41841.85332200351,45651.80098086969,49639.034676177194,55736.503174320664,68292.15346940958
0.8266382842555782_4.0,8330.103024921,17082.857629959202,22270.12759598528,25461.21051415988,26832.745605250508,27799.1269426261,28927.534722033422,29398.870178832254,30322.70020250788,31256.775279085086
0.801872324863518_2.0,14129.379573957001,21939.67743595988,27096.97318647464,31436.21383241264,34466.49035234691,36830.30424152483,39610.23257581936,41922.67168289497,45451.688348839285,50851.817084884206
